sub,Condition,Event.Nr,CDA.AmpSum,expected_value,pe,scr
sub-085,CSplus2,32,0.0,0.029958749842188614,-0.25214416309719706,0.0
sub-085,CSminus2,33,0.0531,0.033654487555790445,-0.2903388542514889,0.0531
sub-085,CSminusUS2,34,0.0,0.0571380233248113,0.7695894974257965,0.0
sub-085,CSplus2,35,0.0487,0.02609530088832292,-0.2217294384098183,0.0487
sub-085,CSminus2,36,0.1204,0.043923025798748024,-0.3702997707864898,0.1204
sub-085,CSplus2,37,0.0,0.022985004890750158,-0.19727488976319216,0.0
sub-085,CSminus2,38,0.0,0.03512140554416115,-0.29203146045307765,0.0
sub-085,CSminus2,39,0.0405,0.02905662009976993,-0.2427960679973453,0.0405
sub-085,CSplus2,40,0.0,0.02043456176228846,-0.17719122790640937,0.0
sub-085,CSminusUS2,41,0.0,0.05457104648690995,0.7927767229071088,0.0
sub-085,CSminus2,42,0.0781,0.04233799058857766,-0.35635715050970956,0.0781
sub-085,CSplus2,43,0.0,0.01831179999544638,-0.1604198372760044,0.0
sub-085,CSminusUS2,44,0.0293,0.0640679026814778,0.7170598390192108,0.0293
sub-085,CSminus2,45,0.0103,0.04952029377203208,-0.41265727985477424,0.0103
sub-085,CSplus2,46,0.0,0.01652285661751921,-0.14622216407281702,0.0
sub-085,CSplus2,47,0.0,0.014999110303695436,-0.13406490231914125,0.0
sub-085,CSminus2,48,0.0133,0.039688846105021776,-0.32656989245036133,0.0133
sub-085,CSplus2,49,0.0,0.013689200594081368,-0.12355234689647894,0.0
sub-085,CSminusUS2,50,0.0479,0.06280349347062295,0.7287714719868185,0.0479
sub-085,CSminus2,51,0.0641,0.048884552153443936,-0.4069799087592535,0.0641
sub-085,CSplus2,52,0.0,0.012553925239560147,-0.11438429020215854,0.0
sub-085,CSminus2,53,0.0,0.039385138411083515,-0.3238769543364257,0.0
sub-085,CSminus2,54,0.041,0.03269962009789548,-0.27015544709219264,0.041
sub-085,CSplus2,55,0.0,0.011562859015710518,-0.1063286900522594,0.0
sub-085,CSminusUS2,56,0.2077,0.05768036658666223,0.7693429805931814,0.2077
